"name","location","prodRate","N175","N285","PETG","PLA","ABS","ONYX"
"Prusa","Rei Lee",12,"yes","no","yes","yes","no","no"
"TAZ","Jerome Fung",12,"yes","no","yes","yes","no","no"
"Sindoh","Meejin Yoon / Howeler & Yoon Architecture",10,"yes","no","yes","yes","no","no"
"Makerbot1","AAP NYC (Balder, Moyse, Au)",12,"yes","no","yes","yes","no","no"
"Makerbot2","AAP NYC (Balder, Moyse, Au)",12,"yes","no","yes","yes","no","no"
"oneof10","KPF",120,"no","yes","no","yes","no","no"
"Ender1","Brian Thrash",12,"yes","no","yes","yes","no","no"
"Orion","Brian Thrash",12,"yes","no","yes","yes","no","no"
"Max","Timothy Weber",12,"yes","no","yes","yes","no","no"
"MAchine1","NYSCF",12,"yes","no","yes","yes","no","no"
"Machine2","NYSCF",12,"yes","no","yes","yes","no","no"
"Maker","Sara Hricik",12,"yes","no","yes","yes","no","yes"
"Prusa","Sara Hricik",12,"yes","no","yes","yes","no","yes"
"Ender1","Sean Kennedy",12,"yes","no","yes","yes","no","no"
"DUP","Michael Marsh - Borgwarner ",0,"","no","no","no","no","no"
"Maker","James Fitch",12,"yes","no","yes","yes","no","no"
"Monoplus","Scott Brodrick",12,"yes","no","yes","yes","no","no"
"Prusa","Scott Brodrick",12,"yes","no","yes","yes","no","no"
"Prusa","Burak Celik",12,"yes","no","yes","yes","no","no"
"NONE","Terrie and Michael Hunter",0,"no","no","no","no","no","no"
"Unimaker","Ryan Logan",12,"no","yes","yes","yes","no","no"
"Lulzbot","Ann & Craig / Future Firm",15,"no","yes","yes","yes","no","no"
"Ender1","Haley Hahn",12,"yes","no","yes","yes","no","no"
"Maker","Marty Sullivan",12,"yes","no","yes","yes","no","no"
"Ultimakerx5","Bernardo Schuhmacher",55,"no","yes","yes","yes","no","no"
"S3x5","Bernardo Schuhmacher",55,"np","yes","yes","yes","no","no"
"Makebot","Luke Keller",12,"yes","no","yes","yes","no","no"
"NONE","Pam Chueh",0,"","no","no","no","no","no"
"Prusa","Deanna Kocher",12,"yes","no","yes","yes","no","no"
"Prusax2","Parker Miller & Joe Skovira",24,"yes","no","yes","yes","no","no"
"Teva","Travis Buley",12,"yes","no","no","yes","yes","no"
"Prusa","Kurt West / WESTWORKSHOP",12,"yes","no","yes","yes","no","no"
"Unimaker1","Niti Parikh/ MakerLAB @ CORNELL TECH",10,"no","yes","yes","yes","no","no"
"UM3","Niti Parikh/ MakerLAB @ CORNELL TECH",10,"no","yes","yes","yes","no","no"
"S5","Niti Parikh/ MakerLAB @ CORNELL TECH",10,"no","yes","yes","yes","no","no"
"Anycubic","Mike Babcock",0,"","no","no","no","no","no"
"Sindwinder","Andy Irwin",12,"yes","no","yes","yes","no","no"
"Sindewinder","Aaron Zufall",0,"yes","no","yes","no","no","no"
"NONE","Brian Barber",0,"","no","no","no","no","no"
"Unimaker","John Pasowicz",10,"yes","no","yes","yes","no","no"
"None","Iman Fayyad",0,"","no","no","no","no","no"
"Dremmel","STOSS Grace Jiranuntarat / Sonny Xu ",5,"yes","no","yes","yes","no","no"
"Prusa","STOSS Grace Jiranuntarat / Sonny Xu ",5,"yes","no","yes","yes","no","no"
"Ultimaker","STOSS Grace Jiranuntarat / Sonny Xu ",5,"yes","no","yes","yes","no","no"
"Ender1","Miles Merwin",10,"yes","no","yes","yes","no","no"
"Unknown","Miles Merwin",10,"yes","no","yes","yes","no","no"
"Dremmel","Miles Merwin",10,"yes","no","yes","yes","no","no"
"Dremmell","Josh Cerra",10,"yes","no","no","no","yes","no"
"Ender1","Zachary Lounsberry",0,"no","no","no","no","no","no"
"Makerbot","Gisela Vidalle (ASA)",12,"yes","no","yes","yes","no","no"
"Ender1","John Labbate",10,"yes","no","yes","yes","no","no"
"Ender1","Layna Chen",10,"yes","no","yes","yes","no","no"
"SLA","Cindy Kao",0,"no","no","no","no","no","no"
"NONE","Malav Gandhi + Shubham Jadhav",0,"no","no","no","no","no","no"
"NONE","SO–IL/Emma Silverblatt",0,"no","no","no","no","no","no"
"BigRep","EDG",55,"no","Yes","no","yes","no","no"
"Ender1","Kristy Merriam",10,"yes","no","yes","yes","no","no"
