"srcLoc","destLoc","defaultMoveCost","defaultMoveTime"
*-----------------------------------------------------
* srcLoc - source location, where supply resides and will be moved from
* destLoc - destination location,  where supply will be moved to 
*
* defaultMoveCost - cost to move Machines interplant w/in GEO is $50.00 
* defaultMoveTime - time to move machines interplant w/in GEO is 1 Time period
*
* Note - Only MTM Interplant movements within same GEO are allowed
* MTM Interplant moves where from & to locations are the same are not supported
* RTP i&p MTM's are not supported, X series MTM's are not supported in phase 1 pilot 
*-----------------------------------------------------
"GLN","DLN",0.0,1.0
"GLE","DLE",0.0,1.0
*"GLL","DLL",0.0,1.0
*"GLA","DLA",0.0,1.0
*
"GME","DME",0.0,0.0
"GMP","DMP",50.0,1.0
"GMR","DMR",50.0,1.0
"GMM","DMM",50.0,1.0
*"GMX","DMX",0.0,0.0 not in scope phase 1
