"part","custLoc","plantLoc","period","demandVol","wac"
0000004N5014,980,980,18,8,695.23
0000004N5014,980,980,22,7,695.23
0000004N5014,980,980,23,6,695.23
0000004N5014,980,980,24,6,695.23
0000004N5014,980,980,25,2,695.23
0000004N5014,980,980,28,2,695.23
0000004N5014,980,980,29,1,695.23
0000004N5353,93B,93B,4,15,1044.32
0000004N5353,93B,93B,5,11,1044.32
0000004N5353,93B,93B,14,1,1044.32
0000004N5353,980,980,4,9,1050.71
0000004N5353,980,980,5,4,1050.71
0000004N5353,980,980,7,1,1050.71
0000004N5353,980,980,8,1,1050.71
0000004N5353,980,980,10,2,1050.71
0000004N5353,980,980,11,1,1050.71
0000004N5353,980,980,12,2,1050.71
0000004N5353,980,980,13,3,1050.71
0000004N5353,980,980,14,1,1050.71
0000004N5353,980,980,15,1,1050.71
0000004N5353,980,980,17,2,1050.71
0000004N5353,980,980,23,1,1050.71
0000004N5353,980,980,28,1,1050.71
0000004N5386,93B,93B,16,1,1052.72
0000004N5386,93B,93B,18,1,1052.72
0000004N5386,93B,93B,23,1,1052.72
0000004N5386,980,980,4,10,1053.54
0000004N5386,980,980,5,1,1053.54
0000004N5386,980,980,7,4,1053.54
0000004N5386,980,980,9,2,1053.54
0000004N5386,980,980,11,1,1053.54
0000004N5386,980,980,12,1,1053.54
0000004N5386,980,980,13,3,1053.54
0000004N5386,980,980,15,1,1053.54
0000004N5386,980,980,16,1,1053.54
0000004N5386,980,980,18,2,1053.54
0000004N5386,980,980,21,2,1053.54
0000004N5386,980,980,24,2,1053.54
0000004N5386,980,980,27,1,1053.54
0000004N5386,980,980,28,2,1053.54
0000004N5508,980,980,4,2,1812.31
0000004N5508,980,980,6,1,1812.31
0000004N5508,980,980,10,1,1812.31
0000004N5508,980,980,11,1,1812.31
0000004N5508,980,980,13,1,1812.31
0000004N5508,980,980,16,1,1812.31
0000004N5508,980,980,18,1,1812.31
0000004N5508,980,980,25,1,1812.31
0000004N5508,980,980,29,1,1812.31
0000004N5635,980,980,11,1,182.38
0000004N5635,980,980,14,1,182.38
0000004N5635,980,980,17,1,182.38
0000004N5635,980,980,21,1,182.38
0000004N5635,980,980,24,1,182.38
0000004N5867,93B,93B,4,2,2381.01
0000004N6572,93B,93B,4,2,1843.44
0000005N4595,918,918,5,2,4978.33
0000005N6753,918,918,4,9,181.34
0000005N6753,918,918,5,6,181.34
0000005N6753,918,918,6,5,181.34
0000005N6753,918,918,8,4,181.34
0000005N6753,918,918,9,8,181.34
0000005N6753,918,918,10,14,181.34
0000005N6753,918,918,11,46,181.34
0000005N6753,918,918,12,22,181.34
0000005N6753,918,918,13,46,181.34
0000005N6753,918,918,14,15,181.34
0000005N6753,918,918,15,30,181.34
0000005N6753,918,918,17,36,181.34
0000005N6753,918,918,18,12,181.34
0000005N6753,918,918,21,6,181.34
0000005N6753,918,918,22,12,181.34
0000005N6753,918,918,24,18,181.34
0000005N6753,918,918,25,6,181.34
0000005N6753,918,918,26,28,181.34
0000005N6753,918,918,27,6,181.34
0000005N6753,918,918,29,2,181.34
0000005N6753,992,992,3,30,209.56
0000005N6753,992,992,4,13,209.56
0000005N6753,992,992,5,8,209.56
0000005N6753,992,992,6,9,209.56
0000005N6753,992,992,7,1,209.56
0000005N6753,992,992,8,3,209.56
0000005N6753,992,992,9,4,209.56
0000005N6753,992,992,12,14,209.56
0000005N6753,992,992,13,17,209.56
0000005N6753,992,992,15,14,209.56
0000005N6753,992,992,16,8,209.56
0000005N6753,992,992,17,7,209.56
0000005N6753,992,992,18,8,209.56
0000005N6753,992,992,22,5,209.56
0000007H5816,918,918,28,1,276.91
0000007H5816,992,992,14,7,332.68
0000007H5816,992,992,16,14,332.68
0000007H5816,992,992,17,14,332.68
0000007H5816,992,992,19,14,332.68
0000007H5816,992,992,21,14,332.68
0000007H5816,992,992,23,14,332.68
0000007H5816,992,992,25,14,332.68
0000007H5816,992,992,27,14,332.68
0000007H5816,992,992,29,14,332.68
0000007H6410,992,992,20,1,492.16
0000007L6600,992,992,8,1,239.13
0000007L6600,992,992,10,1,239.13
0000007L6600,992,992,13,1,239.13
0000007L6600,992,992,15,1,239.13
0000007L6600,992,992,22,1,239.13
0000007L6600,992,992,27,1,239.13
0000008J5803,992,992,11,9,710.31
0000009J4904,980,980,22,5,658.13
0000009J4904,980,980,25,6,658.13
0000009J4904,980,980,27,6,658.13
0000009J4904,980,980,29,6,658.13
0000009L5695,918,918,6,8,218.18
0000009L5695,918,918,7,18,218.18
0000009L5695,918,918,8,18,218.18
0000009L5695,918,918,9,44,218.18
0000009L5695,918,918,10,15,218.18
0000009L5695,918,918,12,1,218.18
0000009L5695,918,918,15,1,218.18
0000009L5695,918,918,18,1,218.18
0000009L5695,93B,93B,4,249,261.57
0000009L5695,93B,93B,5,123,261.57
0000009L5695,93B,93B,6,62,261.57
0000009L5695,93B,93B,7,49,261.57
0000009L5695,93B,93B,8,55,261.57
0000009L5695,93B,93B,9,57,261.57
0000009L5695,93B,93B,10,86,261.57
0000009L5695,93B,93B,11,89,261.57
0000009L5695,93B,93B,12,81,261.57
0000009L5695,93B,93B,13,86,261.57
0000009L5695,93B,93B,14,111,261.57
0000009L5695,93B,93B,15,109,261.57
0000009L5695,93B,93B,16,110,261.57
0000009L5695,93B,93B,17,90,261.57
0000009L5695,93B,93B,18,41,261.57
0000009L5695,93B,93B,21,38,261.57
0000009L5695,93B,93B,22,40,261.57
0000009L5695,93B,93B,23,41,261.57
0000009L5695,93B,93B,24,59,261.57
0000009L5695,93B,93B,26,47,261.57
0000009L5695,93B,93B,27,46,261.57
0000009L5695,93B,93B,28,50,261.57
0000009L5695,93B,93B,29,76,261.57
0000009L5695,980,980,4,230,261.57
0000009L5695,980,980,5,30,261.57
0000009L5695,980,980,6,55,261.57
0000009L5695,980,980,7,30,261.57
0000009L5695,980,980,8,35,261.57
0000009L5695,980,980,9,35,261.57
0000009L5695,980,980,10,60,261.57
0000009L5695,980,980,11,70,261.57
0000009L5695,980,980,12,70,261.57
0000009L5695,980,980,13,80,261.57
0000009L5695,980,980,14,70,261.57
0000009L5695,980,980,15,75,261.57
0000009L5695,980,980,16,60,261.57
0000009L5695,980,980,17,30,261.57
0000009L5695,980,980,18,50,261.57
0000009L5695,980,980,22,25,261.57
0000009L5695,980,980,23,30,261.57
0000009L5695,980,980,24,30,261.57
0000009L5695,980,980,25,60,261.57
0000009L5695,980,980,26,25,261.57
0000009L5695,980,980,27,30,261.57
0000009L5695,980,980,28,30,261.57
0000009L5695,980,980,29,65,261.57
0000009L5695,992,992,5,2,248.72
0000009L5695,992,992,6,11,248.72
0000009L5695,992,992,7,12,248.72
0000009L5695,992,992,8,9,248.72
0000009L5695,992,992,9,9,248.72
0000009L5695,992,992,10,13,248.72
0000009L5695,992,992,11,11,248.72
0000009L5695,992,992,12,12,248.72
0000009L5695,992,992,13,12,248.72
0000009L5695,992,992,14,1,248.72
0000009L5695,992,992,15,2,248.72
0000009L5695,992,992,16,1,248.72
0000009L5695,992,992,17,2,248.72
0000009L5695,992,992,18,9,248.72
0000009L5695,992,992,22,5,248.72
0000009L5695,992,992,23,4,248.72
0000009L5695,992,992,24,5,248.72
0000009L5695,992,992,25,8,248.72
0000009L5695,992,992,26,6,248.72
0000009L5695,992,992,27,11,248.72
0000009L5695,992,992,28,7,248.72
0000009L5695,992,992,29,3,248.72
0000009N9862,992,992,3,27,5400.00
0000009N9862,992,992,4,52,5400.00
0000009N9862,992,992,5,54,5400.00
0000009N9862,992,992,6,54,5400.00
0000009N9862,992,992,7,4,5400.00
0000009N9862,992,992,8,4,5400.00
0000009N9862,992,992,9,5,5400.00
0000009N9862,992,992,10,4,5400.00
0000009N9862,992,992,11,4,5400.00
0000009N9862,992,992,12,1,5400.00
0000009N9862,992,992,13,1,5400.00
0000009N9862,992,992,14,1,5400.00
0000009N9862,992,992,15,1,5400.00
0000009N9862,992,992,16,1,5400.00
0000009N9862,992,992,17,2,5400.00
0000009N9862,992,992,18,1,5400.00
0000009N9862,992,992,19,2,5400.00
0000009N9862,992,992,21,1,5400.00
0000009N9862,992,992,23,1,5400.00
0000009N9862,992,992,25,1,5400.00
0000009N9862,992,992,27,1,5400.00
0000009N9862,992,992,28,1,5400.00
0000009N9862,992,992,29,1,5400.00
0000009P0144,980,980,4,8,1330.24
0000009P0144,980,980,5,5,1330.24
0000009P0144,980,980,7,1,1330.24
0000009P0144,980,980,10,1,1330.24
0000009P0144,980,980,14,1,1330.24
0000009P0144,980,980,17,1,1330.24
0000009P0144,980,980,23,1,1330.24
0000009P0144,992,992,4,58,1322.30
0000009P0144,992,992,5,26,1322.30
0000009P0144,992,992,6,30,1322.30
0000009P0144,992,992,7,6,1322.30
0000009P0144,992,992,8,7,1322.30
0000009P0144,992,992,9,6,1322.30
0000009P0144,992,992,10,6,1322.30
0000009P0144,992,992,11,7,1322.30
0000009P0144,992,992,12,8,1322.30
0000009P0144,992,992,13,8,1322.30
0000009P0144,992,992,14,7,1322.30
0000009P0144,992,992,15,6,1322.30
0000009P0144,992,992,16,13,1322.30
0000009P0144,992,992,17,7,1322.30
0000009P0144,992,992,18,8,1322.30
0000009P0144,992,992,22,8,1322.30
0000009P0144,992,992,23,7,1322.30
0000009P0144,992,992,24,7,1322.30
0000009P0144,992,992,25,7,1322.30
0000009P0144,992,992,26,9,1322.30
0000009P0144,992,992,27,8,1322.30
0000009P0144,992,992,28,7,1322.30
0000009P0144,992,992,29,7,1322.30
0000009P0400,980,980,4,22,685.91
0000009P0400,980,980,5,3,685.91
0000009P0400,980,980,6,3,685.91
0000009P0400,980,980,10,3,685.91
0000009P0400,980,980,11,2,685.91
0000009P0400,980,980,12,3,685.91
0000009P0400,980,980,13,3,685.91
0000009P0400,980,980,15,3,685.91
0000009P0400,980,980,16,3,685.91
0000009P0400,980,980,17,2,685.91
0000009P0400,980,980,21,1,685.91
0000009P0400,980,980,22,1,685.91
0000009P0400,980,980,23,1,685.91
0000009P0400,980,980,24,1,685.91
0000009P0402,980,980,4,2,1029.77
0000009P0407,980,980,4,38,1190.44
0000009P0407,980,980,5,16,1190.44
0000009P0407,980,980,6,7,1190.44
0000009P0407,980,980,7,7,1190.44
0000009P0407,980,980,8,5,1190.44
0000009P0407,980,980,9,3,1190.44
0000009P0407,980,980,10,8,1190.44
0000009P0407,980,980,11,5,1190.44
0000009P0407,980,980,12,9,1190.44
0000009P0407,980,980,13,5,1190.44
0000009P0407,980,980,14,10,1190.44
0000009P0407,980,980,15,5,1190.44
0000009P0407,980,980,17,9,1190.44
0000009P0407,980,980,18,2,1190.44
0000009P0407,980,980,21,5,1190.44
0000009P0407,980,980,22,1,1190.44
0000009P0407,980,980,23,6,1190.44
0000009P0407,980,980,24,3,1190.44
0000009P0407,980,980,25,4,1190.44
0000009P0407,980,980,27,4,1190.44
0000009P0407,980,980,28,1,1190.44
0000009P0407,980,980,29,4,1190.44
0000009P0972,93B,93B,4,21,295.59
0000009P0972,93B,93B,5,1,295.59
0000009P0972,93B,93B,6,1,295.59
0000009P0972,93B,93B,7,1,295.59
0000009P0972,93B,93B,8,1,295.59
0000009P0972,93B,93B,10,1,295.59
0000009P0972,93B,93B,11,1,295.59
0000009P0972,93B,93B,12,1,295.59
0000009P0972,93B,93B,13,1,295.59
0000009P0972,93B,93B,14,1,295.59
0000009P0972,93B,93B,15,2,295.59
0000009P0972,93B,93B,16,1,295.59
0000009P0972,93B,93B,18,2,295.59
0000009P0972,93B,93B,22,1,295.59
0000009P0972,93B,93B,24,1,295.59
0000009P1141,980,980,17,1,425.90
0000009P1141,980,980,19,3,425.90
0000009P1141,980,980,22,3,425.90
0000009P1141,980,980,25,3,425.90
0000009P1141,980,980,28,3,425.90
0000009P1862,980,980,10,5,585.89
0000009P1862,980,980,12,7,585.89
0000009P1862,980,980,14,7,585.89
0000009P1862,980,980,17,7,585.89
0000009P1862,980,980,21,7,585.89
0000009P1862,980,980,23,7,585.89
0000009P1862,980,980,26,7,585.89
0000009P1862,980,980,28,7,585.89
0000009P1915,980,980,4,27,219.52
0000009P2212,980,980,29,1,337.56
0000009P3582,980,980,4,8,1087.61
0000009P3582,980,980,11,2,1087.61
0000009P3582,980,980,13,5,1087.61
0000009P3582,980,980,15,4,1087.61
0000009P3582,980,980,16,4,1087.61
0000009P3582,980,980,18,5,1087.61
0000009P3582,980,980,22,4,1087.61
0000009P3582,980,980,23,5,1087.61
0000009P3582,980,980,25,5,1087.61
0000009P3582,980,980,27,4,1087.61
0000009P3582,980,980,29,5,1087.61
0000009P3811,93B,93B,4,503,232.08
0000009P3811,93B,93B,5,93,232.08
0000009P3811,93B,93B,6,68,232.08
0000009P3811,93B,93B,7,20,232.08
0000009P3811,93B,93B,8,41,232.08
0000009P3811,93B,93B,9,51,232.08
0000009P3811,93B,93B,10,30,232.08
0000009P3811,93B,93B,11,30,232.08
0000009P3811,93B,93B,12,30,232.08
0000009P3811,93B,93B,13,40,232.08
0000009P3811,93B,93B,14,32,232.08
0000009P3811,93B,93B,15,32,232.08
0000009P3811,93B,93B,16,32,232.08
0000009P3811,93B,93B,17,20,232.08
0000009P3811,93B,93B,18,26,232.08
0000009P3811,93B,93B,21,26,232.08
0000009P3811,93B,93B,22,26,232.08
0000009P3811,93B,93B,23,36,232.08
0000009P3811,93B,93B,24,28,232.08
0000009P3870,980,980,4,24,403.37
0000009P3870,980,980,5,9,403.37
0000009P3870,980,980,6,12,403.37
0000009P3870,980,980,7,7,403.37
0000009P3870,980,980,8,8,403.37
0000009P3870,980,980,9,12,403.37
0000009P3870,980,980,10,11,403.37
0000009P3870,980,980,11,14,403.37
0000009P3870,980,980,12,11,403.37
0000009P3870,980,980,13,17,403.37
0000009P3870,980,980,14,14,403.37
0000009P3870,980,980,15,12,403.37
0000009P3870,980,980,17,11,403.37
0000009P3870,980,980,18,6,403.37
0000009P3870,980,980,21,4,403.37
0000009P3870,980,980,22,3,403.37
0000009P3870,980,980,23,4,403.37
0000009P3870,980,980,24,5,403.37
0000009P3870,980,980,25,3,403.37
0000009P3870,980,980,26,3,403.37
0000009P3870,980,980,27,3,403.37
0000009P3870,980,980,28,5,403.37
0000009P3870,980,980,29,3,403.37
0000009P4479,980,980,14,8,1559.12
0000009P4479,980,980,15,13,1559.12
0000009P4479,980,980,16,8,1559.12
0000009P4479,980,980,17,9,1559.12
0000009P4479,980,980,18,3,1559.12
0000009P4479,980,980,22,6,1559.12
0000009P4479,980,980,23,2,1559.12
0000009P4479,980,980,24,4,1559.12
0000009P4479,980,980,27,3,1559.12
0000009P4479,992,992,4,103,1843.53
0000009P4479,992,992,5,2,1843.53
0000009P4479,992,992,6,2,1843.53
0000009P4479,992,992,7,2,1843.53
0000009P4479,992,992,8,2,1843.53
0000009P4479,992,992,9,2,1843.53
0000009P4479,992,992,10,2,1843.53
0000009P4479,992,992,11,3,1843.53
0000009P4479,992,992,12,2,1843.53
0000009P4479,992,992,13,3,1843.53
0000009P4479,992,992,18,3,1843.53
0000009P4479,992,992,22,1,1843.53
0000009P4479,992,992,23,2,1843.53
0000009P4479,992,992,24,1,1843.53
0000009P4479,992,992,25,2,1843.53
0000009P4479,992,992,26,1,1843.53
0000009P4479,992,992,27,2,1843.53
0000009P4479,992,992,28,2,1843.53
0000009P4598,918,918,7,13,220.42
0000009P4598,980,980,4,55,254.00
0000009P4598,980,980,5,17,254.00
0000009P4598,980,980,6,11,254.00
0000009P4598,980,980,7,7,254.00
0000009P4598,980,980,8,8,254.00
0000009P4598,980,980,9,10,254.00
0000009P4598,980,980,10,12,254.00
0000009P4598,980,980,11,9,254.00
0000009P4598,980,980,12,9,254.00
0000009P4598,980,980,13,16,254.00
0000009P4598,980,980,14,14,254.00
0000009P4598,980,980,15,13,254.00
0000009P4598,980,980,16,8,254.00
0000009P4598,980,980,17,4,254.00
0000009P4598,980,980,21,2,254.00
0000009P4598,980,980,22,3,254.00
0000009P4598,980,980,23,2,254.00
0000009P4598,980,980,24,4,254.00
0000009P4598,980,980,26,2,254.00
0000009P4598,980,980,27,2,254.00
0000009P4598,980,980,28,2,254.00
0000009P4598,980,980,29,4,254.00
0000009P4598,992,992,27,2,250.15
0000009P4598,992,992,28,3,250.15
0000009P4841,980,980,4,151,556.79
0000009P4841,980,980,5,100,556.79
0000009P4841,980,980,6,38,556.79
0000009P4841,980,980,7,40,556.79
0000009P4841,980,980,8,33,556.79
0000009P4841,980,980,9,34,556.79
0000009P4841,980,980,10,21,556.79
0000009P4841,980,980,11,30,556.79
0000009P4841,980,980,12,30,556.79
0000009P4841,980,980,13,18,556.79
0000009P4841,980,980,14,67,556.79
0000009P4841,980,980,15,11,556.79
0000009P4841,980,980,16,11,556.79
0000009P4841,980,980,18,23,556.79
0000009P4841,980,980,23,11,556.79
0000009P4841,980,980,24,11,556.79
0000009P4841,980,980,25,11,556.79
0000009P4841,980,980,27,11,556.79
0000009P4841,980,980,28,11,556.79
0000009P4842,980,980,4,101,484.13
0000009P4842,980,980,5,149,484.13
0000009P4842,980,980,6,202,484.13
0000009P4842,980,980,7,385,484.13
0000009P4842,980,980,8,240,484.13
0000009P4842,980,980,9,230,484.13
0000009P4842,980,980,10,293,484.13
0000009P4842,980,980,11,408,484.13
0000009P4842,980,980,12,405,484.13
0000009P4842,980,980,13,406,484.13
0000009P4842,980,980,14,326,484.13
0000009P4842,980,980,15,91,484.13
0000009P4842,980,980,16,7,484.13
0000009P4842,980,980,17,52,484.13
0000009P4842,980,980,18,104,484.13
0000009P4842,980,980,22,18,484.13
0000009P4842,980,980,23,20,484.13
0000009P4842,980,980,24,18,484.13
0000009P4842,980,980,25,30,484.13
0000009P4842,980,980,26,18,484.13
0000009P4842,980,980,27,84,484.13
0000009P4842,980,980,29,2,484.13
0000009P5261,980,980,4,20,734.05
0000009P5573,980,980,6,1,552.26
0000009P5573,980,980,8,5,552.26
0000009P5573,980,980,9,5,552.26
0000009P5573,980,980,10,4,552.26
0000009P5573,980,980,11,5,552.26
0000009P5573,980,980,12,5,552.26
0000009P5573,980,980,13,8,552.26
0000009P5573,980,980,15,5,552.26
0000009P5573,980,980,16,4,552.26
0000009P5573,980,980,17,10,552.26
0000009P5573,980,980,21,5,552.26
0000009P5573,980,980,22,3,552.26
0000009P5573,980,980,23,5,552.26
0000009P5573,980,980,24,5,552.26
0000009P5573,980,980,25,4,552.26
0000009P5573,980,980,26,5,552.26
0000009P5573,980,980,27,5,552.26
0000009P5573,980,980,28,4,552.26
0000009P5573,980,980,29,4,552.26
0000009P5574,980,980,11,1,564.82
0000009P5574,980,980,13,2,564.82
0000009P5574,980,980,21,2,564.82
0000009P5574,980,980,23,1,564.82
0000009P5574,980,980,24,1,564.82
0000009P5574,980,980,26,1,564.82
0000009P5574,980,980,27,2,564.82
0000009P5574,980,980,29,3,564.82
0000009P5823,992,992,13,1,353.85
0000009P5823,992,992,16,5,353.85
0000009P5823,992,992,24,5,353.85
0000009P5823,992,992,28,5,353.85
0000010J0357,918,918,12,3,575.10
0000010J0357,918,918,13,7,575.10
0000010J0357,918,918,14,7,575.10
0000010J0357,918,918,15,3,575.10
0000010J0357,918,918,16,4,575.10
0000010J0357,918,918,17,3,575.10
0000010J0357,918,918,18,4,575.10
0000010J0357,918,918,20,1,575.10
0000010J0357,918,918,21,2,575.10
0000010J0357,918,918,22,1,575.10
0000010J0357,918,918,23,2,575.10
0000010J0357,918,918,24,5,575.10
0000010J0357,918,918,25,4,575.10
0000010J0357,918,918,26,4,575.10
0000010J0357,918,918,27,5,575.10
0000010J0357,918,918,28,2,575.10
0000010J0357,918,918,29,3,575.10
0000010J0357,93B,93B,4,3,1230.45
