mtm,plantLoc,period,supply,wfmv
2064102,GLE,25,1.00,133547.480
2064103,GLN,18,1.00,257179.440
2064103,GLN,27,1.00,253245.120
2064104,GLE,23,2.00,67891.040
2064104,GLE,25,3.00,262002.150
2064105,GLN,23,1.00,329764.140
2064106,GLE,23,2.00,162643.640
2064107,GMP,1,1.00,131404.810
2064107,GLE,31,1.00,275177.490
2064110,GLE,14,1.00,73937.220
2064110,GLE,23,1.00,0.000
2064110,GLE,25,1.00,319080.290
2064111,GLN,18,1.00,1014213.130
2064111,GLE,23,1.00,0.000
2064114,GLN,27,1.00,558830.430
2064115,GLE,23,1.00,487724.030
2064116,GLE,10,1.00,593956.470
2064116,GLE,24,1.00,422131.550
2064116,GLE,25,2.00,464515.365
20641C1,GLE,10,1.00,0.000
20641C2,GLE,23,1.00,93453.540
20641C2,GLE,26,1.00,182512.660
20641C3,GLE,23,1.00,173010.500
20641C4,GLE,23,2.00,94469.475
20641C5,GLE,10,1.00,196129.890
20641C5,GLE,23,3.00,77527.933
20641C5,GLN,26,1.00,501905.570
20641C6,GLE,23,3.00,107042.993
20641C6,GLE,27,2.00,16718.960
20641C7,GLE,23,3.00,119581.516
20641C7,GLE,27,1.00,12930.000
20641C7,GLN,31,1.00,565952.200
20641C8,GLN,14,1.00,687986.120
20641C8,GLE,23,3.00,292946.976
20641C9,GLE,25,1.00,368573.130
20641C9,GLE,26,1.00,381455.770
20641C9,GLN,27,1.00,516192.240
2064212,GMP,1,1.00,0.010
2064216,GLN,14,1.00,611377.380
2064216,GLN,17,1.00,1411678.040
2064216,GLN,23,1.00,600653.040
20642C1,GLE,23,1.00,0.000
20642C4,GLE,23,1.00,0.000
20642C6,GLE,23,1.00,0.000
2064R06,GLE,17,1.00,43651.510
2064R06,GLE,18,1.00,10342.510
2064R06,GLE,23,1.00,10721.880
2064R14,GLE,27,2.00,0.000
2064R16,GLE,10,1.00,64527.000
2064R16,GLE,23,1.00,10941.800
2066001,GMP,1,1.00,95925.690
2066001,GLE,23,2.00,21327.155
2066002,GLE,23,2.00,0.000
2066002,GLE,27,2.00,0.000
20660A1,GLE,5,1.00,3984.570
20660E1,GMP,1,1.00,25000.000
20660LF,GMM,1,1.00,31132.000
2074001,GLN,6,1.00,2789.440
2074001,GLE,10,1.00,4952.860
2074001,GLE,14,4.00,3710.840
2074001,GLN,14,1.00,5952.890
2074001,GLN,15,1.00,3855.990
2074001,GLN,18,2.00,4542.215
2074001,GLN,21,1.00,3687.020
2074001,GLN,23,3.00,4426.056
2074001,GLE,23,6.00,626.898
2074001,GLE,25,1.00,5357.180
2074001,GLE,27,3.00,1817.073
2074001,GLN,31,1.00,3204.490
2074002,GMP,1,1.00,9100.000
2074002,GLN,5,1.00,7144.770
2074002,GLN,15,1.00,3855.870
2074002,GLE,23,4.00,479.260
2074002,GLE,27,2.00,0.000
3000UPS,GLE,27,1.00,0.000
3006B01,GLE,5,1.00,0.800
3006B01,GLE,10,1.00,0.000
3006B01,GLE,19,1.00,0.000
3006B01,GLE,23,2.00,15.740
3006P01,GMP,1,5.00,721.560
3006P01,GLN,12,1.00,0.000
3006P01,GLN,15,1.00,0.000
3006P01,GLN,16,1.00,0.000
3006P01,GLE,27,1.00,0.000
3006P01,GLN,27,1.00,0.000
3006P01,GLN,28,1.00,1886.450
3092002,GLE,29,1.00,0.000
3097002,GLE,29,1.00,0.000
4754001,GLE,31,2.00,0.000
4755014,GLE,31,1.00,0.000
5081016,GLE,23,1.00,0.000
5081019,GLE,19,1.00,284.910
5083021,GLE,9,15.00,0.000
5083021,GLE,20,9.00,0.000
5083021,GLE,32,9.00,0.000
508311A,GLE,19,1.00,43.360
5084003,GLE,20,1.00,0.000
508502A,GLE,19,1.00,1449.350
5086001,GLE,5,1.00,0.000
5086001,GLE,7,2.00,0.000
5086001,GLE,9,19.00,0.000
5086001,GLE,10,4.00,0.000
5086001,GLE,13,1.00,0.000
5086001,GLE,14,3.00,0.000
5086001,GLE,15,1.00,0.000
5086001,GLE,18,1.00,0.000
5086001,GLE,20,10.00,0.000
5086001,GLE,22,2.00,345.270
5086001,GLE,32,9.00,0.000
508601I,GLE,4,1.00,0.000
508601I,GLE,5,2.00,0.000
508601I,GLE,6,2.00,0.000
508601I,GLE,7,2.00,0.000
508601I,GLE,8,2.00,0.000
508601I,GLE,9,2.00,0.000
508601I,GLE,11,7.00,0.000
508601I,GLE,12,1.00,0.000
508601I,GLE,13,1.00,0.000
508601I,GLE,17,1.00,0.000
508601I,GLE,18,4.00,0.000
508601I,GLE,25,1.00,0.000
508601I,GLE,27,1.00,0.000
5208001,GLE,23,1.00,0.000
5363010,GLE,6,1.00,0.000
5363010,GLE,7,1.00,266.280
5363020,GLE,10,2.00,0.000
5363020,GLE,11,1.00,0.000
5363020,GLE,12,1.00,0.000
5363020,GLE,21,1.00,0.000
5363020,GLE,22,1.00,214.570
5363020,GLE,23,1.00,0.000
5363020,GLE,29,1.00,907.530
5363022,GLE,6,1.00,0.000
5363A10,GLE,25,1.00,0.000
5363A20,GLE,5,1.00,0.000
5363A20,GLE,8,1.00,0.000
5363A20,GLE,10,1.00,0.000
5363A20,GLE,14,1.00,0.000
5363A20,GLE,17,1.00,0.000
5363A20,GLE,18,1.00,0.000
5363A20,GLE,19,1.00,0.000
5363A20,GLE,30,2.00,0.000
5363A22,GLE,22,1.00,0.000
5372IS5,GLE,23,1.00,115.020
5372IS5,GLE,31,1.00,0.000
6091014,GLE,14,1.00,0.000
6091014,GLE,18,1.00,0.000
6091014,GLE,22,1.00,0.000
6091014,GLE,30,1.00,0.000
6091019,GLE,5,1.00,0.000
6091019,GLE,7,2.00,0.000
6091019,GLE,9,19.00,0.000
6091019,GLE,10,5.00,0.000
6091019,GLE,13,1.00,0.000
6091019,GLE,14,3.00,0.000
6091019,GLE,15,1.00,0.000
6091019,GLE,18,1.00,0.000
6091019,GLE,19,1.00,0.000
6091019,GLE,20,9.00,0.000
6091019,GLE,32,9.00,0.000
6091023,GMR,1,1.00,0.010
609119I,GLE,4,1.00,0.000
609119I,GLE,5,2.00,0.000
609119I,GLE,6,2.00,0.000
609119I,GLE,7,2.00,0.000
609119I,GLE,8,2.00,0.000
609119I,GLE,9,2.00,0.000
609119I,GLE,11,8.00,0.000
609119I,GLE,13,1.00,0.000
609119I,GLE,17,2.00,0.000
609119I,GLE,18,4.00,0.000
609119I,GLE,25,1.00,0.000
609119I,GLE,27,1.00,0.000
6093011,GLE,4,1.00,0.000
6093011,GLE,5,3.00,0.000
6093011,GLE,6,2.00,0.000
6093011,GLE,7,4.00,0.000
6093011,GLE,8,2.00,0.000
6093011,GLE,9,6.00,0.000
6093011,GLE,10,5.00,0.000
6093011,GLE,11,9.00,0.000
6093011,GLE,12,3.00,0.000
6093011,GLE,13,3.00,0.000
6093011,GLE,14,3.00,0.000
6093011,GLE,15,1.00,0.000
6093011,GLE,16,20.00,0.000
6093011,GLE,17,45.00,0.000
6093011,GLE,18,10.00,0.000
6093011,GLE,20,2.00,0.000
6093011,GLE,22,2.00,0.000
6093011,GLE,23,4.00,0.532
6093011,GLE,25,1.00,0.000
6093011,GLE,26,6.00,0.000
6093011,GLE,27,4.00,0.000
6093011,GLE,30,3.00,0.000
6093012,GLE,17,4.00,0.000
6093012,GLE,19,1.00,0.000
6093012,GLE,21,1.00,0.000
6093012,GLE,22,11.00,0.000
6093012,GLE,23,3.00,0.000
6093012,GLE,25,5.00,0.000
6094010,GLE,10,1.00,0.000
6094010,GLE,12,1.00,0.000
6094010,GLE,13,1.00,0.000
6094010,GLE,14,6.00,0.000
6094010,GLE,23,30.00,0.000
6094010,GLE,25,5.00,0.000
6094010,GLE,26,13.00,0.000
6094010,GLE,27,31.00,0.000
6094010,GLE,30,3.00,0.000
6094010,GLE,31,2.00,0.000
6094020,GLE,13,1.00,0.000
6094020,GLE,23,3.00,0.710
6094020,GLE,26,14.00,0.000
6094020,GLE,30,3.00,0.000
6094030,GLE,10,1.00,0.000
6094030,GLE,17,3.00,0.000
6094040,GLE,28,1.00,0.000
6094051,GLN,18,81.00,0.000
6094051,GLE,19,1.00,0.000
6094051,GLN,23,12.00,0.000
6094051,GLN,24,1.00,0.000
6094051,GLN,27,36.00,0.000
6094600,GLE,17,12.00,0.000
6094600,GLE,22,6.00,0.000
6094600,GLE,27,1.00,0.000
6094600,GLE,29,1.00,0.000
6098001,GLN,27,4.00,10.600
6157001,GLE,19,1.00,0.000
6180001,GLE,23,1.00,0.000
6450128,GLE,13,1.00,0.000
700641T,GLE,10,1.00,0.000
700641T,GLE,14,2.00,0.000
700641T,GLE,18,3.00,103.120
700641T,GLE,19,1.00,290.100
700641T,GLE,20,1.00,689.680
700641T,GLE,21,8.00,13.252
700641T,GLE,22,3.00,0.000
700641T,GLE,26,2.00,0.000
700641W,GLE,5,3.00,257.006
700641W,GLE,8,2.00,200.870
700641W,GLE,9,1.00,200.870
700641W,GLE,11,3.00,186.720
700641W,GLE,12,2.00,93.325
700641W,GLE,15,1.00,0.000
700641W,GLE,17,2.00,54.485
700641W,GLE,18,3.00,126.683
700641W,GLE,20,10.00,103.680
700641W,GLE,21,4.00,77.820
700641W,GLE,23,7.00,38.834
700641W,GLE,32,1.00,0.000
700642T,GLE,7,25.00,0.000
700642T,GLE,12,1.00,0.000
700642T,GLE,17,3.00,186.766
700642T,GLE,18,6.00,148.398
700642T,GLE,20,9.00,657.255
700642T,GLE,22,10.00,667.090
700642T,GLE,29,1.00,106.530
700642W,GLE,23,5.00,271.840
7008M20,GLE,10,1.00,0.000
7009C10,GLE,5,2.00,139.390
7009C10,GLE,7,1.00,0.000
7009C10,GLE,8,1.00,297.840
7009C10,GLE,9,3.00,247.553
7009C10,GLE,10,2.00,138.700
7009C10,GLE,11,3.00,67.796
7009C10,GLE,13,4.00,264.755
7009C10,GLE,14,1.00,0.000
7009C10,GLE,15,7.00,142.112
7009C10,GLE,16,1.00,0.000
7009C10,GLE,17,1.00,162.630
7009C10,GLE,18,10.00,182.842
7009C10,GLE,20,2.00,74.155
7009C10,GLE,22,4.00,136.277
7009C10,GLE,23,1.00,0.000
7009C10,GLE,25,2.00,0.000
7009C10,GLE,26,1.00,0.000
7009C10,GLE,27,2.00,73.550
7009C10,GLE,30,2.00,694.410
7009C10,GLE,31,3.00,282.446
7009C10,GLE,32,1.00,1473.990
7009C20,GLE,7,1.00,0.000
7009C20,GLE,10,1.00,704.090
7009C20,GLE,12,2.00,290.285
7009C20,GLE,18,10.00,209.725
7009C20,GLE,20,1.00,343.050
7009C20,GLE,21,2.00,562.500
7009C20,GLN,23,1.00,0.000
7009C20,GLE,27,1.00,0.000
7009C20,GLE,31,1.00,0.000
7009C20,GLN,32,1.00,0.000
7010001,GLE,31,2.00,1074.805
7010120,GLE,23,1.00,0.000
7010140,GLE,17,2.00,0.000
7011220,GLE,7,4.00,0.000
7011220,GLE,12,2.00,0.000
7011220,GLE,15,1.00,0.000
7011220,GLE,23,1.00,0.000
7011220,GLE,26,1.00,0.000
701122W,GLE,10,1.00,0.000
701122W,GLE,18,1.00,0.000
701122W,GLE,23,1.00,0.000
701122W,GLE,32,2.00,0.000
7011230,GLE,23,1.00,0.000
7011250,GLE,5,1.00,0.000
7011250,GLE,6,1.00,0.000
7011250,GLE,10,1.00,0.000
7011250,GLE,21,1.00,0.000
7011250,GLE,22,5.00,0.000
7011250,GLE,23,4.00,8.942
7011250,GLE,26,1.00,0.000
7011250,GLE,30,1.00,0.000
7011250,GLE,31,1.00,0.000
701125S,GLE,5,1.00,0.000
701125S,GLE,11,1.00,0.000
701125S,GLE,27,2.00,0.000
701125T,GLE,6,8.00,0.000
701125T,GLE,10,8.00,0.000
701125T,GLE,15,2.00,0.000
701125T,GLE,16,1.00,0.000
701125T,GLE,17,4.00,0.000
701125T,GLE,18,1.00,0.000
701125T,GLE,20,1.00,0.000
701125T,GLE,21,1.00,0.000
701125T,GLE,22,15.00,67.732
701125T,GLE,23,6.00,0.000
701125T,GLE,27,2.00,0.000
701125T,GLE,28,1.00,0.000
701125W,GLE,18,19.00,0.000
701125W,GLE,23,26.00,2.878
701125W,GLE,27,1.00,0.000
7012320,GLE,14,1.00,0.000
7012320,GLE,19,1.00,0.000
7012320,GLE,23,1.00,0.000
7012320,GLE,27,1.00,0.000
7012320,GLE,31,1.00,0.000
7012320,GLE,32,1.00,0.000
701232H,GLE,10,1.00,0.000
701232H,GLE,14,2.00,0.000
701232H,GLE,19,1.00,0.000
701232H,GLE,23,2.00,0.000
701232H,GLE,27,1.00,0.000
7012340,GLE,5,1.00,0.000
7012340,GLE,14,1.00,0.000
7012340,GLE,17,1.00,0.000
7012340,GLE,19,1.00,0.000
7012340,GLE,22,1.00,0.000
7012340,GLE,23,4.00,0.000
7012340,GLE,26,1.00,0.000
701234H,GLE,14,1.00,0.000
701234H,GLE,22,2.00,0.000
701234H,GLN,25,1.00,0.000
7012350,GLE,21,1.00,0.000
7012355,GLE,4,1.00,0.000
7012355,GLE,14,1.00,0.000
7012355,GLE,23,10.00,4.339
7012360,GLE,4,1.00,0.000
7012360,GLE,22,1.00,0.000
7012360,GLE,24,1.00,0.000
7012360,GLE,26,1.00,0.000
7012365,GLE,13,1.00,0.000
7012365,GLE,22,1.00,0.000
7012365,GLE,23,2.00,0.000
7012370,GMR,1,1.00,0.000
7012370,GLE,27,1.00,0.000
7012390,GLN,4,1.00,0.800
7012390,GLN,5,1.00,0.000
7012390,GLE,18,5.00,204.778
7012390,GLE,22,1.00,260.460
7012390,GLE,23,1.00,0.000
7012397,GLE,4,1.00,1190.920
7012397,GLE,30,1.00,0.000
7012G02,GLE,18,1.00,0.000
7012G30,GLE,10,2.00,928.935
7012G30,GLE,14,1.00,854.910
7012G30,GLE,23,1.00,0.000
7012G40,GLE,7,1.00,0.000
7012G40,GLE,9,1.00,0.000
7012G40,GLN,9,2.00,0.650
7012G40,GLE,18,1.00,0.000
7012G40,GLE,27,2.00,0.000
7013520,GLE,9,1.00,0.000
7013520,GLE,13,2.00,0.000
7013520,GLE,15,1.00,0.000
7013520,GLE,23,2.00,0.000
701352H,GLE,18,1.00,0.000
7013530,GLE,5,2.00,0.000
7013530,GLE,9,1.00,0.000
7013530,GLE,11,1.00,0.000
7013530,GLE,12,1.00,0.000
7013530,GLE,16,1.00,0.000
7013530,GLE,27,1.00,0.000
7013530,GLE,30,1.00,0.000
701353H,GLE,23,2.00,0.000
7013550,GLE,5,1.00,0.000
7013550,GLE,6,1.00,0.000
7013550,GLE,12,1.00,0.000
7013550,GLE,14,1.00,0.000
7013550,GLE,21,3.00,0.000
701355L,GLE,9,2.00,0.000
7013560,GMR,1,1.00,0.000
7013560,GLE,18,1.00,0.000
7013560,GLE,23,1.00,0.000
7013570,GMR,1,1.00,0.000
7013570,GLE,7,1.00,0.000
7013570,GLE,12,1.00,0.000
7013570,GLE,20,1.00,0.000
7013570,GLE,23,2.00,0.000
7013580,GLE,20,2.00,0.000
7013580,GLE,23,1.00,25.630
701358F,GLE,23,2.00,0.000
701358H,GLE,11,1.00,0.000
701358H,GLE,18,2.00,0.000
701358H,GLE,27,1.00,0.000
7013590,GLE,17,1.00,3598.470
7013590,GLE,18,3.00,0.000
7013590,GLE,23,3.00,18.590
7013591,GLN,18,1.00,0.000
7013595,GLN,23,1.00,0.650
7013595,GLN,26,1.00,0.000
7013595,GLN,29,1.00,0.000
701359H,GMR,1,1.00,0.650
701359H,GLN,8,1.00,0.650
701359H,GLE,10,1.00,0.000
701359H,GLE,32,1.00,1377.880
7013C20,GLE,10,1.00,0.000
7013F50,GLE,10,1.00,0.000
7013J01,GMR,1,1.00,0.000
7013J01,GLE,11,1.00,0.000
7013J01,GLN,16,1.00,0.000
7013J01,GLE,25,2.00,0.000
7013J30,GLE,5,1.00,0.000
7013J30,GLE,9,1.00,1357.050
7013J30,GLE,10,2.00,1357.050
7013J30,GLE,14,1.00,0.000
7013J30,GLE,15,1.00,6712.490
7013J30,GLE,23,2.00,1923.145
7013J30,GLE,29,1.00,0.000
7013J40,GLE,6,1.00,0.000
7013J40,GLE,15,1.00,0.000
7013J40,GLE,16,1.00,0.000
7013J40,GLN,16,1.00,0.000
7013J40,GLE,21,1.00,0.000
7013J40,GLE,27,1.00,0.000
7013J50,GLN,4,2.00,0.520
7013J50,GLE,8,1.00,4761.470
7013J50,GLE,10,1.00,0.000
7013J50,GLE,11,20.00,2478.829
7013J50,GLN,11,1.00,0.650
7013J50,GLE,12,1.00,5583.910
7013J50,GLN,12,2.00,0.000
7013J50,GLE,13,1.00,2711.060
7013J50,GLE,14,4.00,1395.662
7013J50,GLE,15,3.00,7649.553
7013J50,GLE,19,1.00,0.000
7013J50,GLE,21,3.00,2823.620
7013J50,GLE,23,10.00,238.274
7013J50,GLN,23,1.00,0.000
7013S7A,GLN,27,3.00,1018.800
7014S00,GMM,1,13.00,88.913
7014S00,GMR,1,1.00,0.010
7014S00,GLE,4,2.00,0.000
7014S00,GLN,4,2.00,0.000
7014S00,GLN,5,3.00,0.000
7014S00,GLE,5,5.00,0.000
7014S00,GLE,6,5.00,0.278
7014S00,GLN,6,1.00,0.000
7014S00,GLE,7,5.00,0.000
7014S00,GLE,8,4.00,0.000
7014S00,GLE,9,1.00,0.000
7014S00,GLN,9,3.00,6.596
7014S00,GLE,10,20.00,8.476
7014S00,GLN,10,6.00,4.936
7014S00,GLE,11,1.00,0.000
7014S00,GLN,11,1.00,0.000
7014S00,GLN,12,7.00,5.562
7014S00,GLE,13,2.00,0.000
7014S00,GLE,14,7.00,22.937
7014S00,GLN,14,3.00,30.153
7014S00,GLE,16,4.00,0.000
7014S00,GLN,16,5.00,0.000
7014S00,GLN,17,1.00,0.000
7014S00,GLE,18,6.00,0.000
7014S00,GLN,18,7.00,0.000
7014S00,GLE,19,2.00,0.560
7014S00,GLN,19,1.00,0.000
7014S00,GLN,21,2.00,0.000
7014S00,GLE,22,8.00,0.000
7014S00,GLE,23,21.00,8.685
7014S00,GLN,23,16.00,16.746
7014S00,GLE,24,1.00,0.000
7014S00,GLE,26,3.00,0.000
7014S00,GLN,26,3.00,30.153
7014S00,GLE,27,17.00,0.825
7014S00,GLN,27,3.00,6.596
7014S00,GLE,28,1.00,0.000
7014S00,GLN,28,2.00,0.000
7014S00,GLN,29,1.00,0.000
7014S00,GLE,30,4.00,0.000
7014S00,GLE,31,5.00,7.716
7014S00,GLN,31,7.00,0.000
7014S00,GLE,32,2.00,0.000
7014S00,GLN,32,3.00,0.000
7014T00,GMR,1,12.00,219.794
7014T00,GLN,4,3.00,0.000
7014T00,GLE,5,5.00,35.102
7014T00,GLN,5,5.00,0.000
7014T00,GLE,6,2.00,0.000
7014T00,GLN,6,1.00,0.000
7014T00,GLE,7,2.00,0.000
7014T00,GLN,7,1.00,0.000
7014T00,GLE,8,1.00,0.000
7014T00,GLN,8,6.00,0.000
7014T00,GLN,9,4.00,0.000
7014T00,GLE,10,15.00,0.000
7014T00,GLN,10,13.00,0.000
7014T00,GLE,11,1.00,0.000
7014T00,GLN,11,2.00,0.000
7014T00,GLN,12,1.00,0.000
7014T00,GLN,13,3.00,0.000
7014T00,GLE,13,2.00,0.000
7014T00,GLN,14,14.00,0.000
7014T00,GLE,14,7.00,124.865
7014T00,GLN,15,1.00,0.000
7014T00,GLE,16,1.00,0.000
7014T00,GLN,17,1.00,0.000
7014T00,GLN,18,7.00,0.000
7014T00,GLE,18,5.00,27.694
7014T00,GLE,19,4.00,0.032
7014T00,GLN,20,4.00,0.000
7014T00,GLE,20,2.00,0.000
7014T00,GLN,21,5.00,0.000
7014T00,GLN,22,2.00,0.000
7014T00,GLE,22,5.00,0.000
7014T00,GLN,23,28.00,53.165
7014T00,GLE,23,18.00,61.475
7014T00,GLN,24,5.00,185.426
7014T00,GLE,24,1.00,0.000
7014T00,GLN,25,3.00,56.163
7014T00,GLE,25,3.00,0.000
7014T00,GLN,26,1.00,0.000
7014T00,GLE,26,1.00,0.000
7014T00,GLN,27,23.00,5.484
7014T00,GLE,27,12.00,54.667
7014T00,GLE,28,1.00,0.000
7014T00,GLN,29,3.00,0.000
7014T00,GLE,29,1.00,0.000
7014T00,GLN,30,1.00,0.000
7014T00,GLN,31,5.00,0.000
7014T00,GLE,31,8.00,0.000
7014T00,GLN,32,1.00,0.000
7014T00,GLE,32,3.00,69.573
7014T42,GMM,1,1.00,114.400
7014T42,GMR,1,21.00,0.163
7014T42,GLE,5,1.00,0.000
7014T42,GLN,5,3.00,526.500
7014T42,GLN,9,2.00,0.000
7014T42,GLE,10,2.00,0.000
7014T42,GLN,10,6.00,223.950
7014T42,GLN,11,1.00,431.220
7014T42,GLN,12,1.00,0.000
7014T42,GLE,13,1.00,0.000
7014T42,GLN,14,25.00,0.000
7014T42,GLN,16,3.00,0.000
7014T42,GLN,17,1.00,0.000
7014T42,GLE,18,1.00,0.000
7014T42,GLN,18,4.00,0.000
7014T42,GLN,19,1.00,0.000
7014T42,GLE,20,2.00,0.000
7014T42,GLN,20,3.00,0.000
7014T42,GLE,21,1.00,0.000
7014T42,GLN,21,4.00,0.000
7014T42,GLE,22,1.00,0.000
7014T42,GLE,23,12.00,0.000
7014T42,GLN,23,20.00,18.225
7014T42,GLE,24,1.00,0.000
7014T42,GLN,24,2.00,0.000
7014T42,GLE,25,1.00,0.000
7014T42,GLN,25,4.00,0.000
7014T42,GLE,26,1.00,0.000
7014T42,GLN,26,1.00,0.000
7014T42,GLE,27,14.00,41.254
7014T42,GLN,27,12.00,13.005
7014T42,GLE,29,2.00,0.000
7014T42,GLN,31,6.00,0.000
7014T42,GLE,32,1.00,42.760
7014T42,GLN,32,1.00,428.620
7015980,GLE,23,1.00,0.000
7015990,GLE,23,1.00,30.210
7015R00,GLE,4,1.00,0.000
7015R00,GLN,5,2.00,12.370
7015R00,GLE,5,2.00,0.000
7015R00,GLN,7,1.00,0.000
7015R00,GLE,7,1.00,0.000
7015R00,GLE,8,2.00,0.000
7015R00,GLE,10,8.00,0.000
7015R00,GLE,11,1.00,0.000
7015R00,GLE,12,3.00,0.000
7015R00,GLN,14,2.00,0.000
7015R00,GLE,14,2.00,0.000
7015R00,GLN,16,1.00,0.000
7015R00,GLN,17,1.00,0.000
7015R00,GLN,18,2.00,0.000
7015R00,GLE,18,3.00,0.000
7015R00,GLE,19,1.00,0.000
7015R00,GLN,20,1.00,0.000
7015R00,GLE,20,1.00,0.000
7015R00,GLE,21,1.00,0.000
7015R00,GLE,23,9.00,14.262
7015R00,GLE,25,1.00,0.000
7015R00,GLE,26,5.00,0.000
7015R00,GLN,26,2.00,0.000
7015R00,GLE,27,6.00,0.173
7015R00,GLN,27,9.00,0.000
7015R00,GLN,30,1.00,0.000
7015R00,GLN,31,3.00,8.246
7015R00,GLN,32,1.00,0.000
7015R10,GLN,23,1.00,0.000
7015R20,GLE,12,1.00,0.000
7015R20,GLE,14,2.00,3784.065
7015R20,GLE,26,1.00,0.000
7015R24,GLE,10,1.00,0.000
7015R30,GLE,6,1.00,0.000
7015R40,GLE,9,1.00,0.000
7015R40,GLE,12,1.00,2760.770
7015R40,GLE,18,1.00,1275.190
7015R40,GLE,23,1.00,0.000
7015R50,GLN,5,1.00,0.000
7015R50,GLE,12,1.00,3981.640
7015R50,GLE,13,2.00,4691.990
7015R50,GLE,14,1.00,3315.550
7015R50,GLE,21,1.00,3356.380
7015R50,GLE,23,1.00,0.000
7015R50,GLN,23,2.00,0.000
7015R50,GLE,25,1.00,2932.620
7015R50,GLN,28,1.00,0.000
7015R50,GLN,30,1.00,0.000
7017S70,GMR,1,2.00,0.000
7017S70,GLN,9,1.00,0.000
7017S70,GLN,17,1.00,0.000
7017S70,GLE,18,1.00,0.000
7017S70,GLN,18,1.00,0.000
7017S70,GLE,22,1.00,0.000
7017S70,GLE,23,1.00,0.000
7017S70,GLE,31,1.00,0.000
7017S70,GLN,31,1.00,24.740
7017S7A,GMM,1,3.00,6795.393
7017S7A,GMR,1,12.00,490.026
7017S7A,GLE,4,1.00,9518.500
7017S7A,GLN,6,1.00,600.300
7017S7A,GLN,12,5.00,35.530
