"srcLoc","demanCost","demanTime"
"GMP",125.0,2.0
"GMR",125.0,2.0
"GMX",125.0,2.0
"GMM",125.0,2.0
"SMP",125.0,2.0
"SMR",125.0,2.0
"SMX",125.0,2.0
"SMM",125.0,2.0
"GDE",125.0,2.0
"GDN",125.0,2.0
"GLE",125.0,2.0
"GLN",125.0,2.0
*

