"mtm","plantLoc","period","supply","wfmv"
2027232,GMX,1,+00000000000000000000000000005.00,+000000000653.000
2027R04,GMN,1,+00000000000000000000000000001.00,+000000005000.000
2031016,GMX,1,+00000000000000000000000000014.00,+000000001203.000
2031032,GMX,1,+00000000000000000000000000002.00,+000000001736.000
2031224,GLN,3,+00000000000000000000000000002.00,+000000000996.000
2031224,GLN,29,+00000000000000000000000000008.00,+000000001317.000
2031224,GLN,31,+00000000000000000000000000001.00,+000000002354.000
2031224,GMX,1,+00000000000000000000000000039.00,+000000001416.000
2031232,GLN,29,+00000000000000000000000000002.00,+000000004114.000
2031232,GLN,31,+00000000000000000000000000001.00,+000000001353.000
2031232,GLN,33,+00000000000000000000000000001.00,+000000003892.000
2031999,GMX,1,+00000000000000000000000000020.00,+000000000000.000
2031L00,GMX,1,+00000000000000000000000000029.00,+000000000418.000
2034212,GMX,1,+00000000000000000000000000002.00,+000000000535.000
2042001,GMX,1,+00000000000000000000000000005.00,+000000005852.000
2042128,GMX,1,+00000000000000000000000000002.00,+000000000600.000
2042999,GMX,1,+00000000000000000000000000001.00,+000000000000.000
2042C40,GMX,1,+00000000000000000000000000003.00,+000000000033.000
2045C40,GMX,1,+00000000000000000000000000001.00,+000000000641.000
2061020,GMX,1,+00000000000000000000000000004.00,+000000000500.000
2062D01,GLN,31,+00000000000000000000000000001.00,+000000004084.000
2062D01,GMX,1,+00000000000000000000000000008.00,+000000001501.000
2062D07,GLN,29,+00000000000000000000000000002.00,+000000014068.000
2062D07,GMX,1,+00000000000000000000000000003.00,+000000002490.000
2064100,GLA,31,+00000000000000000000000000001.00,+000000000103.000
2064100,GLE,18,+00000000000000000000000000001.00,+000000000668.000
2064100,GLN,2,+00000000000000000000000000001.00,+000000024455.000
2064100,GLN,5,+00000000000000000000000000001.00,+000000026534.000
2064100,GLN,9,+00000000000000000000000000001.00,+000000000000.000
2064100,GLN,13,+00000000000000000000000000001.00,+000000026794.000
2064100,GLN,18,+00000000000000000000000000001.00,+000000042132.000
2064100,GMM,1,+00000000000000000000000000002.00,+000000030828.000
2064100,GMP,1,+00000000000000000000000000005.00,+000000041950.000
2064103,GMM,1,+00000000000000000000000000001.00,+000000156346.000
2064107,GMM,1,+00000000000000000000000000002.00,+000000030070.000
2064110,GMM,1,+00000000000000000000000000005.00,+000000236048.000
2064110,GMP,1,+00000000000000000000000000001.00,+000000017186.000
2064111,GLE,2,+00000000000000000000000000001.00,+000000015889.000
20641C6,GLN,13,+00000000000000000000000000001.00,+000000161138.000
20641C6,GMK,1,+00000000000000000000000000001.00,+000000320289.000
20641C6,GMP,1,+00000000000000000000000000001.00,+000000118957.000
20641C7,GMM,1,+00000000000000000000000000001.00,+000000298816.000
2064213,GMM,1,+00000000000000000000000000002.00,+000000483596.000
2064216,GMM,1,+00000000000000000000000000002.00,+000000352641.000
20642C4,GMM,1,+00000000000000000000000000001.00,+000000221133.000
20642C6,GMM,1,+00000000000000000000000000001.00,+000000303699.000
20642C7,GMM,1,+00000000000000000000000000002.00,+000000452879.000
20642C8,GMM,1,+00000000000000000000000000001.00,+000000302845.000
2066001,GMM,1,+00000000000000000000000000001.00,+000000048262.000
2066002,GMM,1,+00000000000000000000000000003.00,+000000040576.000
2066003,GMM,1,+00000000000000000000000000003.00,+000000045706.000
2066004,GMM,1,+00000000000000000000000000003.00,+000000066134.000
2066004,GMP,1,+00000000000000000000000000001.00,+000000028744.000
20660A1,GMM,1,+00000000000000000000000000012.00,+000000022932.000
20660A2,GLN,29,+00000000000000000000000000001.00,+000000009451.000
20660A2,GMM,1,+00000000000000000000000000003.00,+000000027542.000
20660B1,GMM,1,+00000000000000000000000000001.00,+000000022035.000
2074001,GLN,29,+00000000000000000000000000001.00,+000000001519.000
2074001,GMM,1,+00000000000000000000000000005.00,+000000001468.000
2074001,GMP,1,+00000000000000000000000000001.00,+000000001969.000
2074002,GLE,29,+00000000000000000000000000001.00,+000000001068.000
2074002,GLN,3,+00000000000000000000000000001.00,+000000000525.000
2074002,GLN,29,+00000000000000000000000000003.00,+000000000737.000
2074002,GMP,1,+00000000000000000000000000004.00,+000000002041.000
2084A08,GMM,1,+00000000000000000000000000001.00,+000000637988.000
2084B16,GMM,1,+00000000000000000000000000012.00,+000000586708.000
2084B16,GMP,1,+00000000000000000000000000011.00,+000001596518.000
2084C24,GMK,1,+00000000000000000000000000005.00,+000001791430.000
2084C24,GMM,1,+00000000000000000000000000009.00,+000000755084.000
2084C24,GMP,1,+00000000000000000000000000016.00,+000002190119.000
2084D32,GMM,1,+00000000000000000000000000010.00,+000000683678.000
2084D32,GMP,1,+00000000000000000000000000005.00,+000003703657.000
2086A04,GMK,1,+00000000000000000000000000001.00,+000000000000.000
2101200,GLN,29,+00000000000000000000000000001.00,+000000000000.000
2101200,GMN,1,+00000000000000000000000000001.00,+000000000010.000
2101200,GMX,1,+00000000000000000000000000033.00,+000000000182.000
2102D00,GMX,1,+00000000000000000000000000003.00,+000000000099.000
2104DL1,GLN,29,+00000000000000000000000000001.00,+000000000552.000
2104DL1,GMX,1,+00000000000000000000000000002.00,+000000000208.000
2104DU3,GLE,29,+00000000000000000000000000001.00,+000000000248.000
2104DU3,GLN,3,+00000000000000000000000000021.00,+000000000581.000
2104DU3,GLN,29,+00000000000000000000000000020.00,+000000000639.000
2104DU3,GLN,30,+00000000000000000000000000002.00,+000000000000.000
2104DU3,GMK,1,+00000000000000000000000000018.00,+000000000421.000
2104DU3,GMM,1,+00000000000000000000000000001.00,+000000000145.000
2104DU3,GMN,1,+00000000000000000000000000011.00,+000000000118.000
2104DU3,GMR,1,+00000000000000000000000000006.00,+000000000522.000
2104DU3,GMX,1,+00000000000000000000000000174.00,+000000000643.000
2104TS4,GMX,1,+00000000000000000000000000001.00,+000000001062.000
2104TU3,GLN,29,+00000000000000000000000000001.00,+000000000301.000
2104TU3,GMX,1,+00000000000000000000000000006.00,+000000000605.000
2105800,GLE,3,+00000000000000000000000000002.00,+000000021798.000
2105800,GLE,5,+00000000000000000000000000001.00,+000000019804.000
2105800,GLE,9,+00000000000000000000000000002.00,+000000075744.000
2105800,GLE,13,+00000000000000000000000000006.00,+000000017129.000
2105800,GLE,14,+00000000000000000000000000003.00,+000000027682.000
2105800,GLE,15,+00000000000000000000000000002.00,+000000007312.000
2105800,GLE,18,+00000000000000000000000000001.00,+000000007847.000
2105800,GLE,22,+00000000000000000000000000002.00,+000000015827.000
2105800,GLE,26,+00000000000000000000000000002.00,+000000014323.000
2105800,GLE,29,+00000000000000000000000000001.00,+000000027925.000
2105800,GLE,31,+00000000000000000000000000001.00,+000000021036.000
2105800,GLN,3,+00000000000000000000000000002.00,+000000040909.000
2105800,GLN,18,+00000000000000000000000000001.00,+000000038619.000
2105800,GLN,29,+00000000000000000000000000007.00,+000000031634.000
2105800,GLN,31,+00000000000000000000000000002.00,+000000028278.000
2105800,GMK,1,+00000000000000000000000000006.00,+000000014881.000
2105800,GMN,1,+00000000000000000000000000049.00,+000000027150.000
2105800,GMX,1,+00000000000000000000000000259.00,+000000041268.000
2105F20,GLE,3,+00000000000000000000000000001.00,+000000013788.000
2105F20,GLE,13,+00000000000000000000000000002.00,+000000001037.000
2105F20,GLE,29,+00000000000000000000000000003.00,+000000016109.000
2105F20,GLN,29,+00000000000000000000000000006.00,+000000005041.000
2105F20,GLN,30,+00000000000000000000000000001.00,+000000000072.000
2105F20,GMK,1,+00000000000000000000000000046.00,+000000011670.000
2105F20,GMX,1,+00000000000000000000000000049.00,+000000011677.000
2107921,GMK,1,+00000000000000000000000000001.00,+000000036904.000
2107921,GMX,1,+00000000000000000000000000001.00,+000000038231.000
2107922,GMX,1,+00000000000000000000000000004.00,+000000067538.000
21079A2,GMX,1,+00000000000000000000000000002.00,+000000071477.000
21079AE,GMX,1,+00000000000000000000000000001.00,+000000055281.000
2108G07,GLN,29,+00000000000000000000000000001.00,+000000000669.000
2108R03,GMK,1,+00000000000000000000000000001.00,+000000000301.000
2108R03,GMX,1,+00000000000000000000000000001.00,+000000000024.000
2109F16,GLE,3,+00000000000000000000000000001.00,+000000001097.000
2109F16,GLE,13,+00000000000000000000000000003.00,+000000001740.000
2109F16,GLE,14,+00000000000000000000000000001.00,+000000000524.000
2109F16,GLE,29,+00000000000000000000000000002.00,+000000001330.000
2109F16,GLN,3,+00000000000000000000000000009.00,+000000001409.000
2109F16,GLN,9,+00000000000000000000000000002.00,+000000001201.000
2109F16,GLN,13,+00000000000000000000000000005.00,+000000001199.000
2109F16,GLN,29,+00000000000000000000000000013.00,+000000001505.000
2109F16,GMK,1,+00000000000000000000000000004.00,+000000002471.000
2109F16,GMN,1,+00000000000000000000000000005.00,+000000000885.000
2109F16,GMX,1,+00000000000000000000000000089.00,+000000001861.000
2109F32,GLN,29,+00000000000000000000000000001.00,+000000003981.000
2109F32,GMX,1,+00000000000000000000000000002.00,+000000002164.000
2109S08,GMX,1,+00000000000000000000000000002.00,+000000001185.000
2109S16,GLE,29,+00000000000000000000000000003.00,+000000002761.000
2109S16,GLN,3,+00000000000000000000000000001.00,+000000001344.000
2109S16,GLN,29,+00000000000000000000000000012.00,+000000001448.000
2109S16,GMK,1,+00000000000000000000000000013.00,+000000000457.000
2109S16,GMN,1,+00000000000000000000000000001.00,+000000000003.000
2109S16,GMX,1,+00000000000000000000000000024.00,+000000000908.000
2240FLC,GMK,1,+00000000000000000000000000001.00,+000000000014.000
2240FLC,GMN,1,+00000000000000000000000000004.00,+000000000001.000
2240PAV,GMN,1,+00000000000000000000000000006.00,+000000000001.000
2240PRC,GMN,1,+00000000000000000000000000002.00,+000000000001.000
2240XRC,GMN,1,+00000000000000000000000000004.00,+000000000001.000
2863001,GMN,1,+00000000000000000000000000002.00,+000000000001.000
2863001,GMX,1,+00000000000000000000000000001.00,+000000000666.000
3006P01,GLN,29,+00000000000000000000000000001.00,+000000000000.000
3422A01,GMK,1,+00000000000000000000000000001.00,+000000000000.000
3480A22,GLA,31,+00000000000000000000000000001.00,+000000000004.000
3480A22,GMK,1,+00000000000000000000000000002.00,+000000000322.000
3480A22,GMX,1,+00000000000000000000000000004.00,+000000000000.000
3480B22,GLA,31,+00000000000000000000000000001.00,+000000000002.000
3480B22,GLN,29,+00000000000000000000000000002.00,+000000000000.000
3480B22,GMK,1,+00000000000000000000000000012.00,+000000000046.000
3490A02,GLA,26,+00000000000000000000000000001.00,+000000000002.000
3490A20,GLN,3,+00000000000000000000000000001.00,+000000000094.000
3490A20,GLN,29,+00000000000000000000000000003.00,+000000000104.000
3490A20,GMN,1,+00000000000000000000000000001.00,+000000000060.000
3490A20,GMX,1,+00000000000000000000000000003.00,+000000001762.000
3490B04,GLA,13,+00000000000000000000000000001.00,+000000000001.000
3490B04,GLA,26,+00000000000000000000000000003.00,+000000000002.000
3490B04,GMK,1,+00000000000000000000000000004.00,+000000000000.000
3490B40,GLN,29,+00000000000000000000000000004.00,+000000000052.000
3490B40,GMK,1,+00000000000000000000000000004.00,+000000000314.000
3490B40,GMX,1,+00000000000000000000000000029.00,+000000000043.000
3490C11,GMK,1,+00000000000000000000000000001.00,+000000000089.000
3490C22,GLA,13,+00000000000000000000000000001.00,+000000000009.000
3490C22,GLA,22,+00000000000000000000000000001.00,+000000000010.000
3490C22,GLA,26,+00000000000000000000000000001.00,+000000000011.000
3490C22,GLA,31,+00000000000000000000000000003.00,+000000000011.000
3490C22,GLN,2,+00000000000000000000000000001.00,+000000000163.000
3490C22,GLN,29,+00000000000000000000000000001.00,+000000001092.000
3490C22,GMK,1,+00000000000000000000000000001.00,+000000001775.000
3490C22,GMX,1,+00000000000000000000000000016.00,+000000000989.000
3490C2A,GLN,3,+00000000000000000000000000001.00,+000000000080.000
3490C2A,GLN,29,+00000000000000000000000000001.00,+000000000116.000
3490C2A,GMK,1,+00000000000000000000000000001.00,+000000000448.000
3490E01,GLN,29,+00000000000000000000000000002.00,+000000000414.000
3490E11,GLA,18,+00000000000000000000000000001.00,+000000000007.000
3490E11,GLA,31,+00000000000000000000000000001.00,+000000000007.000
3490F01,GLN,29,+00000000000000000000000000001.00,+000000001423.000
3490F11,GLA,31,+00000000000000000000000000001.00,+000000000029.000
3490F11,GLN,29,+00000000000000000000000000002.00,+000000000337.000
3490F1A,GMX,1,+00000000000000000000000000004.00,+000000000100.000
3494999,GMX,1,+00000000000000000000000000011.00,+000000000034.000
3494AX0,GMX,1,+00000000000000000000000000020.00,+000000000314.000
3494B10,GLN,29,+00000000000000000000000000001.00,+000000013276.000
3494B10,GMX,1,+00000000000000000000000000003.00,+000000016026.000
3494B18,GLN,3,+00000000000000000000000000003.00,+000000002179.000
3494B18,GLN,29,+00000000000000000000000000001.00,+000000002454.000
3494B18,GMK,1,+00000000000000000000000000004.00,+000000003780.000
3494B18,GMN,1,+00000000000000000000000000004.00,+000000001142.000
3494B18,GMX,1,+00000000000000000000000000010.00,+000000039045.000
3494B20,GLN,29,+00000000000000000000000000004.00,+000000032492.000
3494B20,GLN,31,+00000000000000000000000000003.00,+000000081805.000
3494B20,GMK,1,+00000000000000000000000000001.00,+000000000000.000
3494CX0,GMX,1,+00000000000000000000000000004.00,+000000000348.000
3494CX1,GMX,1,+00000000000000000000000000002.00,+000000025947.000
3494D10,GLN,3,+00000000000000000000000000001.00,+000000000378.000
3494D10,GLN,18,+00000000000000000000000000001.00,+000000000007.000
3494D10,GLN,29,+00000000000000000000000000001.00,+000000000491.000
3494D10,GMX,1,+00000000000000000000000000004.00,+000000000451.000
3494D12,GLN,28,+00000000000000000000000000001.00,+000000000675.000
3494D12,GLN,29,+00000000000000000000000000045.00,+000000001525.000
3494D12,GLN,30,+00000000000000000000000000001.00,+000000001674.000
3494D12,GLN,31,+00000000000000000000000000011.00,+000000001880.000
3494D12,GMK,1,+00000000000000000000000000016.00,+000000000350.000
3494D12,GMN,1,+00000000000000000000000000011.00,+000000000243.000
3494D12,GMX,1,+00000000000000000000000000148.00,+000000001307.000
3494D14,GLN,26,+00000000000000000000000000001.00,+000000001409.000
3494D14,GLN,29,+00000000000000000000000000041.00,+000000001535.000
3494D14,GLN,30,+00000000000000000000000000001.00,+000000001111.000
3494D14,GLN,31,+00000000000000000000000000006.00,+000000001922.000
3494D14,GMK,1,+00000000000000000000000000002.00,+000000000859.000
3494D14,GMN,1,+00000000000000000000000000010.00,+000000000050.000
3494D14,GMX,1,+00000000000000000000000000121.00,+000000001111.000
3494D22,GLN,10,+00000000000000000000000000001.00,+000000006410.000
3494D24,GLN,10,+00000000000000000000000000001.00,+000000004178.000
3494D24,GLN,13,+00000000000000000000000000003.00,+000000002720.000
3494D24,GMX,1,+00000000000000000000000000001.00,+000000000000.000
3494HA1,GLN,3,+00000000000000000000000000002.00,+000000003990.000
3494HA1,GLN,29,+00000000000000000000000000005.00,+000000003998.000
3494HA1,GLN,31,+00000000000000000000000000002.00,+000000007726.000
3494HA1,GMK,1,+00000000000000000000000000004.00,+000000001894.000
3494HA1,GMX,1,+00000000000000000000000000051.00,+000000003756.000
3494L10,GMK,1,+00000000000000000000000000004.00,+000000005601.000
3494L10,GMN,1,+00000000000000000000000000005.00,+000000000227.000
3494L10,GMX,1,+00000000000000000000000000001.00,+000000001267.000
3494L12,GLN,29,+00000000000000000000000000010.00,+000000003493.000
3494L12,GLN,31,+00000000000000000000000000002.00,+000000005636.000
3494L12,GMK,1,+00000000000000000000000000009.00,+000000002089.000
3494L12,GMN,1,+00000000000000000000000000001.00,+000000000585.000
3494L12,GMX,1,+00000000000000000000000000032.00,+000000003222.000
3494L14,GLN,29,+00000000000000000000000000002.00,+000000000718.000
3494L14,GMN,1,+00000000000000000000000000002.00,+000000000913.000
3494L14,GMX,1,+00000000000000000000000000025.00,+000000001309.000
3494L22,GLN,10,+00000000000000000000000000001.00,+000000007572.000
3494L22,GLN,13,+00000000000000000000000000001.00,+000000007956.000
3494L22,GMX,1,+00000000000000000000000000001.00,+000000005225.000
3494S10,GLN,29,+00000000000000000000000000003.00,+000000000142.000
3494S10,GLN,31,+00000000000000000000000000002.00,+000000000081.000
3494S10,GLN,32,+00000000000000000000000000001.00,+000000000107.000
3494S10,GLN,33,+00000000000000000000000000001.00,+000000000000.000
3494S10,GMK,1,+00000000000000000000000000008.00,+000000000268.000
3494S10,GMN,1,+00000000000000000000000000014.00,+000000000074.000
3494S10,GMX,1,+00000000000000000000000000014.00,+000000000198.000
35341RU,GMK,1,+00000000000000000000000000001.00,+000000000000.000
3534F08,GLE,29,+00000000000000000000000000001.00,+000000000462.000
3534F08,GLN,3,+00000000000000000000000000002.00,+000000000485.000
3534F08,GLN,29,+00000000000000000000000000007.00,+000000000563.000
3534F08,GMK,1,+00000000000000000000000000001.00,+000000001033.000
3534F08,GMX,1,+00000000000000000000000000012.00,+000000000410.000
35422RU,GLN,3,+00000000000000000000000000001.00,+000000000443.000
35422RU,GLN,29,+00000000000000000000000000002.00,+000000000866.000
35422RU,GMK,1,+00000000000000000000000000004.00,+000000000933.000
35422RU,GMX,1,+00000000000000000000000000007.00,+000000000816.000
35521RU,GLN,29,+00000000000000000000000000002.00,+000000002064.000
35521RU,GMK,1,+00000000000000000000000000006.00,+000000002631.000
35521RU,GMX,1,+00000000000000000000000000006.00,+000000001281.000
3552999,GMX,1,+00000000000000000000000000001.00,+000000000000.000
35601RU,GLN,3,+00000000000000000000000000003.00,+000000000659.000
35601RU,GLN,29,+00000000000000000000000000008.00,+000000000737.000
35601RU,GMK,1,+00000000000000000000000000008.00,+000000000717.000
35601RU,GMN,1,+00000000000000000000000000002.00,+000000000678.000
35601RU,GMX,1,+00000000000000000000000000049.00,+000000000381.000
35601RX,GMN,1,+00000000000000000000000000002.00,+000000000160.000
3560999,GMX,1,+00000000000000000000000000003.00,+000000000000.000
3570B01,GLE,29,+00000000000000000000000000003.00,+000000000603.000
3570B01,GLN,29,+00000000000000000000000000003.00,+000000000481.000
3570B01,GMK,1,+00000000000000000000000000004.00,+000000000011.000
3570B02,GLE,29,+00000000000000000000000000001.00,+000000001830.000
3570B02,GLN,29,+00000000000000000000000000001.00,+000000001134.000
3570B02,GMK,1,+00000000000000000000000000001.00,+000000000000.000
3570C01,GLE,3,+00000000000000000000000000001.00,+000000000939.000
3570C01,GLE,29,+00000000000000000000000000006.00,+000000000971.000
3570C01,GLN,3,+00000000000000000000000000001.00,+000000000103.000
3570C01,GLN,29,+00000000000000000000000000006.00,+000000000731.000
3570C01,GMK,1,+00000000000000000000000000004.00,+000000000057.000
3570C02,GLE,29,+00000000000000000000000000001.00,+000000002224.000
3570C02,GLN,29,+00000000000000000000000000003.00,+000000000490.000
3570C12,GLN,29,+00000000000000000000000000001.00,+000000000045.000
3570C21,GLN,29,+00000000000000000000000000001.00,+000000000000.000
3575L18,GMK,1,+00000000000000000000000000001.00,+000000000000.000
3580H11,GLE,13,+00000000000000000000000000001.00,+000000000484.000
3580H11,GLE,29,+00000000000000000000000000001.00,+000000001055.000
3580H11,GLN,29,+00000000000000000000000000008.00,+000000000437.000
3580H23,GLE,31,+00000000000000000000000000001.00,+000000000495.000
3580H23,GLN,29,+00000000000000000000000000001.00,+000000000938.000
3580L11,GLN,29,+00000000000000000000000000004.00,+000000000567.000
3580L11,GMX,1,+00000000000000000000000000011.00,+000000000191.000
3580L13,GLN,29,+00000000000000000000000000001.00,+000000000687.000
3580L23,GLE,29,+00000000000000000000000000002.00,+000000001283.000
3580L23,GLN,29,+00000000000000000000000000001.00,+000000000867.000
3580L23,GMN,1,+00000000000000000000000000001.00,+000000000817.000
3580L33,GMX,1,+00000000000000000000000000006.00,+000000000800.000
3581F28,GMX,1,+00000000000000000000000000002.00,+000000000729.000
3581H13,GLN,3,+00000000000000000000000000001.00,+000000000814.000
3581H13,GLN,13,+00000000000000000000000000001.00,+000000000504.000
3581H13,GLN,29,+00000000000000000000000000002.00,+000000000951.000
3581H13,GMX,1,+00000000000000000000000000006.00,+000000000808.000
3581H17,GLE,3,+00000000000000000000000000001.00,+000000001417.000
3581H17,GLE,29,+00000000000000000000000000001.00,+000000001704.000
3581H17,GLE,31,+00000000000000000000000000001.00,+000000000519.000
3581H17,GLN,3,+00000000000000000000000000007.00,+000000000735.000
3581H17,GLN,13,+00000000000000000000000000001.00,+000000000399.000
3581H17,GLN,29,+00000000000000000000000000011.00,+000000000788.000
3581H17,GLN,31,+00000000000000000000000000001.00,+000000000418.000
3581H17,GMK,1,+00000000000000000000000000008.00,+000000000660.000
3581H17,GMX,1,+00000000000000000000000000039.00,+000000000678.000
3581H23,GLN,29,+00000000000000000000000000001.00,+000000001548.000
3581L13,GMX,1,+00000000000000000000000000001.00,+000000000746.000
3581L17,GLE,29,+00000000000000000000000000001.00,+000000001541.000
3581L17,GLE,31,+00000000000000000000000000001.00,+000000000731.000
3581L17,GLN,29,+00000000000000000000000000004.00,+000000000659.000
3581L23,GLE,13,+00000000000000000000000000002.00,+000000000749.000
3581L23,GLE,26,+00000000000000000000000000001.00,+000000000410.000
3581L23,GLN,5,+00000000000000000000000000001.00,+000000000461.000
3581L23,GLN,9,+00000000000000000000000000001.00,+000000000776.000
3581L23,GLN,13,+00000000000000000000000000002.00,+000000000911.000
3581L23,GLN,18,+00000000000000000000000000001.00,+000000000450.000
3581L23,GLN,26,+00000000000000000000000000001.00,+000000000769.000
3581L23,GLN,29,+00000000000000000000000000001.00,+000000001227.000
3581L23,GLN,31,+00000000000000000000000000002.00,+000000000648.000
3581L23,GMK,1,+00000000000000000000000000001.00,+000000000435.000
3581L23,GMX,1,+00000000000000000000000000001.00,+000000003017.000
3581L28,GMX,1,+00000000000000000000000000002.00,+000000000875.000
3582L23,GLE,11,+00000000000000000000000000001.00,+000000001164.000
3582L23,GLE,13,+00000000000000000000000000003.00,+000000001973.000
3582L23,GLE,26,+00000000000000000000000000002.00,+000000001667.000
3582L23,GLE,30,+00000000000000000000000000001.00,+000000001820.000
3582L23,GLE,31,+00000000000000000000000000001.00,+000000001288.000
3582L23,GLN,23,+00000000000000000000000000005.00,+000000002798.000
3582L23,GLN,31,+00000000000000000000000000001.00,+000000001903.000
3582L23,GMK,1,+00000000000000000000000000001.00,+000000003016.000
3582L23,GMX,1,+00000000000000000000000000001.00,+000000000144.000
3583L18,GLN,3,+00000000000000000000000000004.00,+000000002089.000
3583L18,GLN,29,+00000000000000000000000000003.00,+000000002763.000
3583L18,GMK,1,+00000000000000000000000000001.00,+000000000000.000
3583L18,GMX,1,+00000000000000000000000000025.00,+000000001574.000
3583L36,GLA,26,+00000000000000000000000000001.00,+000000000676.000
3583L36,GLE,14,+00000000000000000000000000001.00,+000000001508.000
3583L36,GLN,23,+00000000000000000000000000001.00,+000000003999.000
3583L36,GMK,1,+00000000000000000000000000001.00,+000000004424.000
3583L36,GMX,1,+00000000000000000000000000048.00,+000000002677.000
3583L72,GLN,29,+00000000000000000000000000001.00,+000000003371.000
3583L72,GMX,1,+00000000000000000000000000025.00,+000000002511.000
3584D32,GLN,29,+00000000000000000000000000003.00,+000000008966.000
3584D32,GLN,31,+00000000000000000000000000001.00,+000000007442.000
3584HA1,GMX,1,+00000000000000000000000000001.00,+000000001665.000
3584L32,GLE,29,+00000000000000000000000000001.00,+000000003223.000
