tc,perishLimit,p,sf,allowInventoryHoldingAtDemandLocation,removeCycles,objValue
0,0,0,0,0,0,129.000000
0,0,0,1,0,0,129.000000
0,0,0,2,0,0,129.000000
0,0,1,0,0,0,129.000000
0,0,1,1,0,0,129.000000
0,0,1,2,0,0,129.000000
0,0,2,0,0,0,129.000000
0,0,2,1,0,0,129.000000
0,0,2,2,0,0,129.000000
0,0,3,0,0,0,129.000000
0,0,3,1,0,0,129.000000
0,0,3,2,0,0,129.000000
0,3,0,0,0,0,129.000000
0,3,0,1,0,0,129.000000
0,3,0,2,0,0,129.000000
0,3,1,0,0,0,129.000000
0,3,1,1,0,0,129.000000
0,3,1,2,0,0,129.000000
0,3,2,0,0,0,129.000000
0,3,2,1,0,0,129.000000
0,3,2,2,0,0,129.000000
0,3,3,0,0,0,129.000000
0,3,3,1,0,0,129.000000
0,3,3,2,0,0,129.000000
0,0,0,0,1,1,129.000000
0,0,0,1,1,1,129.000000
0,0,0,2,1,1,129.000000
0,0,1,0,1,1,129.000000
0,0,1,1,1,1,129.000000
0,0,1,2,1,1,129.000000
0,0,2,0,1,1,129.000000
0,0,2,1,1,1,129.000000
0,0,2,2,1,1,129.000000
0,0,3,0,1,1,129.000000
0,0,3,1,1,1,129.000000
0,0,3,2,1,1,129.000000
0,3,0,0,1,1,129.000000
0,3,0,1,1,1,129.000000
0,3,0,2,1,1,129.000000
0,3,1,0,1,1,129.000000
0,3,1,1,1,1,129.000000
0,3,1,2,1,1,129.000000
0,3,2,0,1,1,129.000000
0,3,2,1,1,1,129.000000
0,3,2,2,1,1,129.000000
0,3,3,0,1,1,129.000000
0,3,3,1,1,1,129.000000
0,3,3,2,1,1,129.000000
1,0,0,0,0,0,177013.843750
1,0,0,1,0,0,177013.843750
1,0,0,2,0,0,177013.843750
1,0,1,0,0,0,177013.843750
1,0,1,1,0,0,177013.843750
1,0,1,2,0,0,177013.843750
1,0,2,0,0,0,177013.843750
1,0,2,1,0,0,177013.843750
1,0,2,2,0,0,177013.843750
1,0,3,0,0,0,177013.843750
1,0,3,1,0,0,177013.843750
1,0,3,2,0,0,177013.843750
1,3,0,0,0,0,177013.843750
1,3,0,1,0,0,177013.843750
1,3,0,2,0,0,177013.843750
1,3,1,0,0,0,177013.843750
1,3,1,1,0,0,177013.843750
1,3,1,2,0,0,177013.843750
1,3,2,0,0,0,177013.843750
1,3,2,1,0,0,177013.843750
1,3,2,2,0,0,177013.843750
1,3,3,0,0,0,177013.843750
1,3,3,1,0,0,177013.843750
1,3,3,2,0,0,177013.843750
1,0,0,0,1,1,178510.843750
1,0,0,1,1,1,178510.843750
1,0,0,2,1,1,178510.843750
1,0,1,0,1,1,178510.843750
1,0,1,1,1,1,178510.843750
1,0,1,2,1,1,178510.843750
1,0,2,0,1,1,178510.843750
1,0,2,1,1,1,178510.843750
1,0,2,2,1,1,178510.843750
1,0,3,0,1,1,178510.843750
1,0,3,1,1,1,178510.843750
1,0,3,2,1,1,178510.843750
1,3,0,0,1,1,178510.843750
1,3,0,1,1,1,178510.843750
1,3,0,2,1,1,178510.843750
1,3,1,0,1,1,178510.843750
1,3,1,1,1,1,178510.843750
1,3,1,2,1,1,178510.843750
1,3,2,0,1,1,178510.843750
1,3,2,1,1,1,178510.843750
1,3,2,2,1,1,178510.843750
1,3,3,0,1,1,178510.843750
1,3,3,1,1,1,178510.843750
1,3,3,2,1,1,178510.843750
2,0,0,0,0,0,800.000000
2,0,0,1,0,0,800.000000
2,0,0,2,0,0,800.000000
2,0,1,0,0,0,800.000000
2,0,1,1,0,0,800.000000
2,0,1,2,0,0,800.000000
2,0,2,0,0,0,800.000000
2,0,2,1,0,0,800.000000
2,0,2,2,0,0,800.000000
2,0,3,0,0,0,800.000000
2,0,3,1,0,0,800.000000
2,0,3,2,0,0,800.000000
2,3,0,0,0,0,800.000000
2,3,0,1,0,0,800.000000
2,3,0,2,0,0,800.000000
2,3,1,0,0,0,800.000000
2,3,1,1,0,0,800.000000
2,3,1,2,0,0,800.000000
2,3,2,0,0,0,800.000000
2,3,2,1,0,0,800.000000
2,3,2,2,0,0,800.000000
2,3,3,0,0,0,800.000000
2,3,3,1,0,0,800.000000
2,3,3,2,0,0,800.000000
2,0,0,0,1,1,800.000000
2,0,0,1,1,1,800.000000
2,0,0,2,1,1,800.000000
2,0,1,0,1,1,800.000000
2,0,1,1,1,1,800.000000
2,0,1,2,1,1,800.000000
2,0,2,0,1,1,800.000000
